"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","BI0Dve","yYlJEf href","QuU3Wb","yYlJEf href 2","QuU3Wb 2","rllt__details 4","uDyWh"
"ROYAL ANIMAL HOSPITAL, SARAVANAMPATTI","· Veterinarian","5.0","(5)","Velappanaickenpudur, SMR Complex · 095147 23777","Open 24 hours","","","","https://www.google.com/maps/dir//Velappanaickenpudur,+ROYAL+ANIMAL+HOSPITAL,+SARAVANAMPATTI,+SMR+Complex,+Saravanampatti,+Coimbatore,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f774843ab29b:0xa5f098815a4bf393?sa=X&ved=1t:57443&ictx=111","Directions","","""Friendly to interact and caring to answer each and every doubt and concern."""
"JSR Pet Multi Speciality Hospital","· Veterinary care","3.9","(260)","5+ years in business · 156, 24, W Ramalingam Rd · 091766 09944","Closed","","","","https://www.google.com/maps/dir//JSR+Pet+Multi+Speciality+Hospital,+156,+24,+W+Ramalingam+Rd,+R.S.+Puram,+Coimbatore,+Tamil+Nadu+641002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859296124d1d3:0x1b38e2dac6c034bc?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""They take care of our pet with kind hands and they provide fine treatment ."""
"COIMBATORE PET HOSPITAL | CANINE KINGDOM |","· Veterinarian","4.8","(113)","198, Chinnammal St, near by Annapoorna hotel · 093639 61496","Closed","On-site services","","","https://www.google.com/maps/dir//COIMBATORE+PET+HOSPITAL+%7C+CANINE+KINGDOM+%7C,+198,+Chinnammal+St,+near+by+Annapoorna+hotel,+Saibaba+Colony,+K+K+Pudur,+Coimbatore,+Tamil+Nadu+641038/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859553fa159b1:0x49b0b84caaa7e325?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"M S Pets Veterinary Clinic","· Veterinarian","3.9","(58)","10+ years in business · Pankaja Mills Rd · 098422 15014","","On-site services","","","https://www.google.com/maps/dir//M+S+Pets+Veterinary+Clinic,+Pankaja+Mills+Rd,+Ramanathapuram,+Tamil+Nadu+641045/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8590cd947dfe1:0x98bfd492bf7e0b2e?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Paws Pet Care Clinic","· Veterinarian","4.7","(397)","3+ years in business · No. 68E, Sri Saravanabhava Tower, Sathy Rd. Sivanandhapuram · 098942 41881","Closed","","","","https://www.google.com/maps/dir//Paws+Pet+Care+Clinic,+No.+68E,+Sri+Saravanabhava+Tower,+Sathy+Rd.+Sivanandhapuram,+Saravanampatti,+Coimbatore,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8fbe45bb6223d:0xa89895eae4553147?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""My dog is well treated and got cured in a day."""
"Happy Tail Pets Poly Clinic","· Emergency veterinarian service","5.0","(4)","Coimbatore, Tamil Nadu · 095780 32780","Open 24 hours","","","","https://www.google.com/maps/dir//Happy+Tail+Pets+Poly+Clinic,+Sakthi+Nagar,+Coimbatore,+Tamil+Nadu+641049/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f719d099c209:0x9d1105f238f845d7?sa=X&ved=1t:57443&ictx=111","Directions","","""I happily suggest this doctor for our loveable pets."""
"Government Veterinary Hospital","· Hospital","2.3","(10)","2387+M9W","Open 24 hours","","","","https://www.google.com/maps/dir//2387%2BM9W+Government+Veterinary+Hospital,+Irugur,+Tamil+Nadu+641103/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba856f8bf782877:0x47cd4dedd7c363a2?sa=X&ved=1t:57443&ictx=111","Directions","","""WELL SATISFIED DOCTOR TREAT VERY WELL"""
"Humane Animal Hospital","· Veterinarian","4.5","(140)","3+ years in business · No 9, Ramamoorthy street, opp. water tank · 096777 15683","Closed","","","","https://www.google.com/maps/dir//No+9,+Humane+Animal+Hospital,+Ramamoorthy+street,+opp.+water+tank,+Cheran+Nagar,+Selvapuram+North,+Coimbatore,+Tamil+Nadu+641026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859a448f3eb09:0x1d20ad0b33ebe59f?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 11 am Mon","""They are very kind , friendly treats pets with utmost care and affection."""
"Sana Multispeciality Pet Hospital","· Animal hospital","5.0","(2)","No. 38, 40, Sathy Rd, opp. to Sree Anandakumar Mills Pvt Ltd","Open 24 hours","On-site services","https://www.sanapethospital.com/","Website","https://www.google.com/maps/dir//No.+38,+Sana+Multispeciality+Pet+Hospital,+40,+Sathy+Rd,+opp.+to+Sree+Anandakumar+Mills+Pvt+Ltd,+Saravanampatti,+Siranandha+Puram,+Coimbatore,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859005269787f:0xffab248b80b6cb?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Singanallur Veterinary Clinic","· Veterinarian","3.8","(89)","10+ years in business · X2WH+WQF","","","","","https://www.google.com/maps/dir//X2WH%2BWQF+Singanallur+Veterinary+Clinic,+Agraharam,+Singanallur,+Tamil+Nadu+641005/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8576b7ef016dd:0xd91879155d777e90?sa=X&ved=1t:57443&ictx=111","Directions","","""The Doctors has always been kind and helpful."""
"CANINE KINGDOM PET CLINIC 24/7","· Veterinarian","4.9","(199)","3+ years in business · HA/21, Villankurichi Rd · 097903 04333","· Opens 6 am Mon","On-site services","https://www.caninekingdompethospital.com/","Schedule","https://www.google.com/maps/dir//CANINE+KINGDOM+PET+CLINIC+24%2F7,+HA%2F21,+Villankurichi+Rd,+Ganapathy+Maanagar,+Ganapathy,+Coimbatore,+Tamil+Nadu+641006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8596fcc5f4045:0xb2eaeec468024185?sa=X&ved=1t:57443&ictx=111","Website","Closed",""
"BlueHill Veterinary Care Clinic","· Veterinarian","4.9","(153)","Thudiyalur, Tamil Nadu · 078455 68413","Closed","","","","https://www.google.com/maps/dir//BlueHill+Veterinary+Care+Clinic,+Sridevi+Nagar,+Thudiyalur,+Tamil+Nadu+641034/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f707f817eebf:0x2983c334c43a0589?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 11 am Mon","""The care is excellent, and your pet will recover quickly."""
"Government veterinary hospital","· Veterinary care","3.5","(31)","7+ years in business · XX3F+X3H","Closed","","","","https://www.google.com/maps/dir//XX3F%2BX3H+Government+veterinary+hospital,+Sundarapuram,+Tamil+Nadu+641024/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85b6ea05416f5:0x75b53bea7506a6?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Excellent Dr my pet was saved"""
"Petvet Care | Sukadev Animal Care | Best pet shop in Coimbatore | poultry pet veterinary shop in Coimbatore","· Pet supply store","4.5","(59)","Old. 90, A New 44, 2nd St Ext · 0422 252 6702","Closed","In-store shopping","http://www.petvetcare.in/","Website","https://www.google.com/maps/dir//Old.+90,+Petvet+Care+%7C+Sukadev+Animal+Care+%7C+Best+pet+shop+in+Coimbatore+%7C+poultry+pet+veterinary+shop+in+Coimbatore,+A+New+44,+2nd+St+Ext,+Gandhipuram,+Tamil+Nadu+641012/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85907ae75127d:0x901827315e52365?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Kovai Veterinary Clinic","· Veterinarian","4.5","(111)","5+ years in business · 30 Feet Rd · 070109 38605","Closed","On-site services not available","https://kovai-veterinary-clinic.odoo.com/","Website","https://www.google.com/maps/dir//Kovai+Veterinary+Clinic,+30+Feet+Rd,+Krishnaswamy+Nagar,+Ramanathapuram,+Tamil+Nadu+641045/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859ae91accc2d:0x7acb0782faa12465?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Government veterinary dispensary","· Animal hospital","3.1","(20)","7+ years in business · 2-1, Edayarpalayam - Koundampalayam Rd","Closed","","","","https://www.google.com/maps/dir//Government+veterinary+dispensary,+2-1,+Edayarpalayam+-+Koundampalayam+Rd,+Anbu+Nagar,+P+and+T+Colony,+Koundampalayam,+Coimbatore,+Tamil+Nadu+641030/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba858bd63520e45:0xd377441e8e6dab9e?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Treatment good."""
"Sara Pet/vet clinic & pet shop","· Veterinarian","3.3","(83)","10+ years in business · No.70/1, Lakshmipuram 5th street kamarajar road, road, opp. to RHR hotel · 063840 53035","Closed","","","","https://www.google.com/maps/dir//Sara+Pet%2Fvet+clinic+%26+pet+shop,+No.70%2F1,+Lakshmipuram+5th+street+kamarajar+road,+road,+opp.+to+RHR+hotel,+Coimbatore,+Tamil+Nadu+641004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba857834cb7032d:0xbc35b64414c1943d?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Tritails Veterinary Hospital","· Animal hospital","5.0","(52)","189, Aerodrome road · 093637 02221","Closed","","https://tritailsveterinaryhospital.com/","Website","https://www.google.com/maps/dir//Tritails+Veterinary+Hospital,+189,+Aerodrome+road,+Ondipudur,+Coimbatore,+Tamil+Nadu+641005/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859e73d7421f3:0x54bd49be5880d60b?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""They truly saved my dog’s life."""
"SRI KUMARAN PET CLINIC","· Veterinarian","4.7","(34)","3+ years in business · SMR Complex, Thudiyalur - Saravanampatti Rd · 095147 23777","","","","","https://www.google.com/maps/dir//SRI+KUMARAN+PET+CLINIC,+SMR+Complex,+Thudiyalur+-+Saravanampatti+Rd,+Saravanampatti,+Coimbatore,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f7fd87ecb1db:0x5590c4f18b1db44b?sa=X&ved=1t:57443&ictx=111","Directions","","""They are extremely courteous and handle pets with so much care."""
"Government Veterinary Hospital Perur","· Animal hospital","4.1","(20)","10+ years in business · XWH9+4F5, Perur Main Rd","Closed","","","","https://www.google.com/maps/dir//XWH9%2B4F5+Government+Veterinary+Hospital+Perur,+Perur+Main+Rd,+Perur,+Coimbatore,+Tamil+Nadu+641010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85952b04ef7fd:0xb425ec30a85d7c8?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Dr advised for Rabies vaccine (costing only Rs. 17/-)that too was given."""
"Nova Pet Clinic","· Animal hospital","4.9","(128)","Mudaliyar street, Sarada Mill Rd, near Mahalakshmi bakery · 078450 59419","Closed","","","","https://www.google.com/maps/dir//Nova+Pet+Clinic,+Mudaliyar+street,+Sarada+Mill+Rd,+near+Mahalakshmi+bakery,+Sundarapuram,+Kurichi,+Tamil+Nadu+641024/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85be1434c7479:0xe8e706ec1338eb8f?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""Excellent service, reasonable price,  doctor was very friendly and polite."""
"Saran's Pet Hospital","· Veterinarian","4.5","(332)","7+ years in business · P.O, 20,Sree Murugan Nagar, near SPP Appartment","Closed","","","","https://www.google.com/maps/dir//Saran's+Pet+Hospital,+P.O,+20,Sree+Murugan+Nagar,+near+SPP+Appartment,+Saravanampatti,+Coimbatore,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f9dc0eeb7739:0xd1ac4ddf3e652156?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""They saved my pet from a very critical condition(Babesiosis)."""
"Government Veterinary hospital","· Veterinary care","3.8","(44)","5+ years in business · 3XG2+6X8, MDR877","Closed","","","","https://www.google.com/maps/dir//3XG2%2B6X8+Government+Veterinary+hospital,+MDR877,+Vellakinar+Village,+Kurudampalayam,+Tamil+Nadu+641029/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f7209af7ab8f:0xa39b1e6b6ca080d3?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Very good care of our dog on sunday"""
"VITAL CARE PET CLINIC","· Veterinarian","5.0","(4)","45, Nadar St, near Bakery","Closed","","","","https://www.google.com/maps/dir//VITAL+CARE+PET+CLINIC,+45,+Nadar+St,+near+Bakery,+Sridevi+Nagar,+Ganapathy,+Coimbatore,+Tamil+Nadu+641006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859005837ebaf:0x4e1b95b3dd5cc6e3?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Dr. Navi's Veterinary Clinic","· Veterinarian","5.0","(346)","13/5, post · 063814 14845","Closed","","","","https://www.google.com/maps/dir//Dr.+Navi's+Veterinary+Clinic,+13%2F5,+post,+Indira+Nagar,+Kalapatti,+Coimbatore,+Tamil+Nadu+641048/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba857bd9d2b9d6f:0xfe1d610a832855bc?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""His skillful diagnosis is superb.They treated my pet like family."""
"VET MED PET HOSPITAL & SURGICAL CENTRE","· Veterans hospital","4.7","(80)","Palladam, Tamil Nadu · 080722 34211","Open 24 hours","","https://vetmedpethospitalsurgicalcentre.business.site/?utm_source=gmb&utm_medium=referral","Website","https://www.google.com/maps/dir//VET+MED+PET+HOSPITAL+%26+SURGICAL+CENTRE,+Udumalpet+-+Palladam+Rd,+Mullai+Nagar,+Palladam,+Tamil+Nadu+641664/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba9abb0f1334973:0x9187340868842e85?sa=X&ved=1t:57443&ictx=111","Directions","","""Satisfied treatment by the expert doctor & caring staffs."""
"RNK Veterinary Clinic","· Animal hospital","4.8","(773)","5+ years in business · 2/2 A 1 Meenakshi Amman Nagar, Trichy Rd · 097509 02665","Closed","","","","https://www.google.com/maps/dir//RNK+Veterinary+Clinic,+2%2F2+A+1+Meenakshi+Amman+Nagar,+Trichy+Rd,+Sulur,+Tamil+Nadu+641402/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8550a54351d2b:0x8253d04abea2c8?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9:30 am Mon","""Doctor in RNK hospital saved my pet from snake bite."""
"Copaw Pets Poly Clinic","· Emergency veterinarian service","4.9","(137)","Site no.6, 1st St · 099523 99307","Closed","On-site services not available","","","https://www.google.com/maps/dir//Site+no.6,+Copaw+Pets+Poly+Clinic,+1st+St,+Viswanathapuram,+Thudiyalur,+Tamil+Nadu+641034/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f702e35b776f:0x638d27732a4b1778?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 11:30 am Mon",""
"Government Veterinary Hospital","· Animal hospital","4.0","(25)","10+ years in business · 3VJJ+546 · 0422 265 8014","","","","","https://www.google.com/maps/dir//3VJJ%2B546+Government+Veterinary+Hospital,+Madathur,+Tamil+Nadu+641108/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f5bd5650b797:0xd67c7994e3cf7c41?sa=X&ved=1t:57443&ictx=111","Directions","","""The doctor is very gentle and therir service is good"""
"Animal treatment","· Veterinarian","","","VIP URBAN Centre · 089038 78566","Open 24 hours","","","","https://www.google.com/maps/dir//Animal+treatment,+VIP+URBAN+Centre,+Srinivasa+Nagar,+Nallampalayam,+Coimbatore,+Tamil+Nadu+641029/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8594f6420f44d:0x25cc3e76fcd1f7fd?sa=X&ved=1t:57443&ictx=111","Directions","",""
"","","","","","","","","","","","",""
"VET ON WHEELS -PET HOSPITAL AT HOME SERVICE","· Veterinarian","4.8","(34)","Ha 21 · 093635 97903","· Opens 9 am Mon","","","","https://www.google.com/maps/dir//VET+ON+WHEELS+-PET+HOSPITAL+AT+HOME+SERVICE,+Ha+21,+Coimbatore,+Tamil+Nadu+641006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85930b9fd8739:0x452c914e5709b491?sa=X&ved=1t:57443&ictx=111","","Closed","""The vet explained everything clearly and gave proper treatment at home."""
"SRI SARAVANA PETS & VETS","· Veterinary pharmacy","5.0","(21)","42, Marudhamalai Rd · 096773 89136","Closes soon","","http://srisaravanapetsandvets.com/","Website","https://www.google.com/maps/dir//SRI+SARAVANA+PETS+%26+VETS,+42,+Marudhamalai+Rd,+Vadavalli,+Coimbatore,+Tamil+Nadu+641041/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85f00478cd6bd:0xc9a68acf39e8bc98?sa=X&ved=1t:57443&ictx=111","Directions","· 10:30 pm","""They have almost all the pet's needy and contacts too ."""
"Venkitapuram Veterinary Hospital","· Veterinary pharmacy","4.3","(19)","2/475H, Irugur Rd","","","","","https://www.google.com/maps/dir//Venkitapuram+Veterinary+Hospital,+2%2F475H,+Irugur+Rd,+Chinniyampalayam,+Coimbatore,+Tamil+Nadu+641062/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85624b4661875:0x396cb8b398c0f80e?sa=X&ved=1t:57443&ictx=111","Directions","","""Very quality service at low cost"""
"Government Veterinary Hospital","· Veterans hospital","2.7","(9)","3WMV+626","","","","","https://www.google.com/maps/dir//3WMV%2B626+Government+Veterinary+Hospital,+TNP+Nagar,+Thudiyalur,+Tamil+Nadu+641017/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f641c6d902bb:0x3ce67818f383bd93?sa=X&ved=1t:57443&ictx=111","Directions","","""Doctor is available  & good consultation given"""
"Government Veterinary Hospital","· Veterinary care","3.7","(56)","7+ years in business · WX37+7CV","Closed","","","","https://www.google.com/maps/dir//WX37%2B7CV+Government+Veterinary+Hospital,+Madukkarai,+Tamil+Nadu+641105/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85b1ff7fc2e63:0x8bd9926894dcc623?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""Good service"""
"Government Veterinary Hospital","· Veterinary pharmacy","3.8","(42)","3298+GJC","Closed","","","","https://www.google.com/maps/dir//3298%2BGJC+Government+Veterinary+Hospital,+Villankurichi,+Tamil+Nadu+641035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f80480d359c7:0xfaaacc1d9e0201c5?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Doctor is very good and helped my dog from parvo virus"""
"Vet Care Agencies","· Animal hospital","3.5","(12)","7+ years in business · 103, near Park · 090876 51000","Closed","","","","https://www.google.com/maps/dir//Vet+Care+Agencies,+103,+near+Park,+Angammal+layout,+Lawley+Rd,+Coimbatore,+Tamil+Nadu+641002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8591ff22930a7:0xcead767c39937389?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon",""
"Govt Veterinary hospital,Vedapatti","· Animal hospital","4.6","(7)","7+ years in business · City Complex, 67B, near veterrinary hospital","Closed","","","","https://www.google.com/maps/dir//Govt+Veterinary+hospital,Vedapatti,+City+Complex,+67B,+near+veterrinary+hospital,+Vedapatti,+Coimbatore,+Tamil+Nadu+641007/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85f3b23a18f43:0x3983405d1d26d13e?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon",""
"Dr Saravanan Veterinary Doctor","· Veterinarian","4.8","(19)","3+ years in business · 12/1 Saravana Nagar TVS nagar to Kavundampalayam, 12/2, road · 099522 22022","Closed","On-site services","","","https://www.google.com/maps/dir//Dr+Saravanan+Veterinary+Doctor,+12%2F1+Saravana+Nagar+TVS+nagar+to+Kavundampalayam,+12%2F2,+road,+Saravana+Nagar,+Edayarpalayam,+Coimbatore,+Tamil+Nadu+641025/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859698dd53f5d:0xbb1386fcec743429?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Govt Veterinary hospital,Kalapati","· Hospital","5.0","(3)","32GM+WJJ","","","","","https://www.google.com/maps/dir//32GM%2BWJJ+Govt+Veterinary+hospital,Kalapati,+Coimbatore,+Tamil+Nadu+641048/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f9ca2f820587:0x51826fb6455ce33e?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital","· Veterinary care","3.9","(51)","7+ years in business · Coonoor, Tamil Nadu · 094438 98466","Open","","","","https://www.google.com/maps/dir//Veterinary+Hospital,+Umari+Cottage,+Coonoor,+Tamil+Nadu+643102/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba894ee2aec5c8b:0xb6da0fc1ca3b1bf2?sa=X&ved=1t:57443&ictx=111","Directions","· Closes 12 am","""Very nice , Good treatment, cordial relations with animal owner"""
